iter	RMSE
376	12577.16031
377	12548.97768
378	12526.86247
379	12517.85891
380	12502.38602
381	12483.82114
382	12463.88799
383	12439.14281
384	12414.92663
385	12401.17242
386	12393.49759
387	12372.29667
388	12364.66443
389	12347.05699
390	12330.69533
391	12311.14766
392	12303.73024
393	12269.12056
394	12261.09179
395	12255.89134
396	12236.07867
397	12209.77638
398	12198.22674
399	12179.65825
400	12160.43088
401	12137.35445
402	12118.77922
403	12104.77988
404	12085.73293
405	12064.95553
406	12044.1562
407	12023.98376
408	12006.4665
409	11982.13164
410	11973.41366
411	11943.14888
412	11933.38043
413	11920.94472
414	11907.47418
415	11884.4504
416	11859.80645
417	11836.81761
418	11819.87328
419	11800.96115
420	11783.91191
421	11765.52813
422	11752.0549
423	11741.93597
424	11732.55426
425	11723.12349
426	11712.49378
427	11696.15264
428	11686.64432
429	11661.29665
430	11640.16658
431	11621.44807
432	11599.84605
433	11583.31492
434	11570.16797
435	11545.63637
436	11532.63626
437	11515.79852
438	11495.02953
439	11478.73875
440	11453.61448
441	11433.8977
442	11428.11621
443	11417.77797
444	11400.32966
445	11390.79634
446	11381.79545
447	11376.75377
448	11349.23251
449	11340.92002
450	11326.74592
451	11309.35585
452	11304.96742
453	11288.59889
454	11265.85329
455	11244.22563
456	11239.65821
457	11223.68673
458	11199.12115
459	11174.03652
460	11160.91888
461	11141.80906
462	11122.23518
463	11107.40815
464	11092.9113
465	11071.55754
466	11049.36304
467	11039.28542
468	11011.22597
469	10991.49146
470	10969.90635
471	10947.26292
472	10922.10613
473	10897.91617
474	10880.81309
475	10860.30207
476	10855.01509
477	10833.43799
478	10818.07182
479	10804.28543
480	10779.35333
481	10761.33419
482	10744.52322
483	10724.23711
484	10709.87731
485	10703.23659
486	10697.52525
487	10674.80092
488	10663.31328
489	10650.3819
490	10629.84352
491	10609.73246
492	10596.69533
493	10577.81014
494	10560.09959
495	10555.15591
496	10548.947
497	10539.02019
498	10530.62914
499	10515.21976
500	10507.76379
501	10498.50859
502	10477.14528
503	10459.77712
504	10438.52124
505	10425.18697
506	10411.51253
507	10409.7455
508	10393.5787
509	10378.19439
510	10376.52092
511	10361.46737
512	10352.52776
513	10338.92466
514	10329.01979
515	10309.20916
516	10288.78765
517	10271.64938
518	10267.60047
519	10251.93878
520	10235.74167
521	10232.24013
522	10218.67721
523	10201.22315
524	10175.95885
525	10141.72485
526	10130.71666
527	10122.60183
528	10116.72379
529	10093.6645
530	10092.03324
531	10086.82035
532	10080.62891
533	10068.8008
534	10065.94524
535	10046.50972
536	10033.51975
537	10032.23306
538	10014.88835
539	9997.091344
540	9983.920881
541	9970.340734
542	9963.763888
543	9945.393798
544	9933.99014
545	9923.372465
546	9914.062399
547	9909.071227
548	9907.603516
549	9891.009639
550	9875.767563
551	9860.671059
552	9856.51483
553	9848.712484
554	9846.191903
555	9844.81312
556	9839.261194
557	9828.273345
558	9815.418445
559	9803.909816
560	9789.363997
561	9769.489184
562	9758.095617
563	9743.404036
564	9727.952904
565	9726.583876
566	9725.139713
567	9714.316698
568	9703.502196
569	9686.916827
570	9674.106693
571	9666.156389
572	9658.335946
573	9643.374626
574	9642.063426
575	9631.556002
576	9630.173778
577	9628.018062
578	9621.691043
579	9618.354713
580	9610.13154
581	9596.282067
582	9594.70811
583	9587.799968
584	9572.162077
585	9560.142919
586	9550.732281
587	9526.047449
588	9519.432126
589	9501.030888
590	9497.074094
591	9495.727308
592	9476.111382
593	9464.726092
594	9452.545098
595	9437.116308
596	9418.404564
597	9413.129299
598	9411.913138
599	9410.725208
600	9409.158974
601	9401.619784
602	9395.637953
603	9373.940272
604	9372.614588
605	9363.235349
606	9362.107187
607	9357.547844
608	9342.98987
609	9336.792077
610	9322.707754
611	9318.247132
612	9298.338878
613	9294.205484
614	9293.108289
615	9287.957705
616	9273.89449
617	9269.66673
618	9249.743434
619	9227.43091
620	9207.905067
621	9203.663426
622	9180.536953
623	9171.193325
624	9155.692004
625	9146.667664
626	9137.615952
627	9126.108803
628	9119.222202
629	9105.879252
630	9097.49842
631	9094.60951
632	9077.681299
633	9070.594477
634	9063.324961
635	9050.661179
636	9049.621721
637	9048.213721
638	9032.769138
639	9027.868437
640	9026.510798
641	9025.314368
642	9024.34484
643	9011.84809
644	9006.208268
645	8999.814039
646	8988.69401
647	8976.84463
648	8969.216225
649	8968.159594
650	8947.028072
651	8934.247789
652	8926.733456
653	8909.456151
654	8895.283849
655	8882.714733
656	8872.355245
657	8861.725821
658	8851.033291
659	8839.290253
660	8828.467667
661	8827.053816
662	8815.224875
663	8805.337396
664	8791.941759
665	8783.1397
666	8768.464087
667	8767.194267
668	8766.301141
669	8764.316585
670	8757.42403
671	8756.239687
672	8736.224978
673	8730.005963
674	8729.142362
675	8722.034745
676	8720.688667
677	8712.121277
678	8706.927229
679	8700.689904
680	8686.75725
681	8685.723111
682	8684.797732
683	8678.792854
684	8672.445253
685	8671.076078
686	8661.123684
687	8653.063524
688	8638.393857
689	8628.658836
690	8626.314381
691	8625.345064
692	8609.891201
693	8602.467571
694	8596.578333
695	8579.924546
696	8564.142837
697	8546.877979
698	8543.264594
699	8533.666585
700	8532.426779
701	8528.165964
702	8525.322404
703	8512.490016
704	8498.137869
705	8488.177748
706	8477.67492
707	8476.112729
708	8458.391142
709	8453.97269
710	8453.051941
711	8441.41007
712	8429.917199
713	8419.963988
714	8407.828192
715	8393.648151
716	8385.937764
717	8372.042797
718	8363.061677
719	8362.165408
720	8357.773329
721	8338.192163
722	8328.500733
723	8320.96819
724	8310.490766
725	8298.954379
726	8287.185634
727	8286.228693
728	8277.59814
729	8266.762808
730	8251.09639
731	8239.83116
732	8229.732116
733	8221.822398
734	8210.17617
735	8200.024841
736	8190.615724
737	8189.609324
738	8178.311416
739	8167.837196
740	8158.031114
741	8149.635222
742	8143.341962
743	8122.973213
744	8106.8382
745	8099.90936
746	8078.386607
747	8063.168055
748	8044.288152
749	8036.909722
750	8033.58874
751	8026.421608
752	8018.808335
753	8001.448411
754	7992.971228
755	7980.75171
756	7973.933352
757	7960.891183
758	7952.79649
759	7948.605715
760	7942.082132
761	7941.043069
762	7930.27632
763	7918.896296
764	7914.523071
765	7903.36931
766	7891.449527
767	7875.377537
768	7861.160079
769	7852.929894
770	7849.036133
771	7834.010352
772	7827.708411
773	7816.526123
774	7809.070744
775	7798.238931
776	7789.682798
777	7780.586403
778	7771.855096
779	7764.69959
780	7759.201177
781	7749.450893
782	7737.181118
783	7725.837164
784	7724.040598
785	7715.747428
786	7701.073837
787	7696.99977
788	7691.758258
789	7684.127535
790	7680.889141
791	7674.904422
792	7673.945772
793	7666.983185
794	7665.960354
795	7658.864925
796	7657.798887
797	7651.378463
798	7650.559219
799	7644.163127
800	7632.922215
801	7622.694478
802	7614.471445
803	7613.710276
804	7612.977699
805	7611.642795
806	7603.934888
807	7602.980504
808	7588.12088
809	7587.085611
810	7578.63918
811	7571.329873
812	7566.567352
813	7565.846145
814	7559.245938
815	7542.240269
816	7536.216906
817	7533.408604
818	7528.924688
819	7517.47654
820	7499.37394
821	7498.281185
822	7497.632213
823	7488.535739
824	7478.725875
825	7477.890338
826	7470.064653
827	7460.197985
828	7451.015138
829	7439.391833
830	7430.793141
831	7430.171022
832	7424.419509
833	7416.469015
834	7410.051839
835	7399.906795
836	7392.144858
837	7387.933166
838	7379.323485
839	7364.762857
840	7356.734061
841	7349.582648
842	7336.581129
843	7327.32507
844	7317.897781
845	7305.442401
846	7304.724859
847	7303.642487
848	7296.942725
849	7284.19998
850	7281.283073
851	7274.188018
852	7266.848879
853	7265.995618
854	7259.763086
855	7250.272764
856	7241.000736
857	7231.820792
858	7224.491769
859	7219.010621
860	7212.504265
861	7204.821146
862	7197.761793
863	7194.028204
864	7183.302239
865	7178.440427
866	7176.980114
867	7166.99951
868	7163.334166
869	7155.55523
870	7149.512185
871	7138.153453
872	7137.126752
873	7126.119751
874	7124.876176
875	7124.256009
876	7117.920718
877	7112.689385
878	7106.000083
879	7098.657195
880	7085.505157
881	7076.696574
882	7076.102801
883	7070.685172
884	7064.226142
885	7059.308579
886	7048.408961
887	7047.848219
888	7047.249676
889	7046.718361
890	7038.154653
891	7030.868006
892	7023.942316
893	7020.819208
894	7009.221248
895	7005.627965
896	6994.89621
897	6994.267221
898	6985.718289
899	6975.157498
900	6973.870466
901	6963.633861
902	6957.535353
903	6956.998921
904	6954.879984
905	6953.811365
906	6953.309649
907	6945.99169
908	6941.823586
909	6932.339406
910	6929.239133
911	6915.637874
912	6915.004448
913	6913.212987
914	6901.634951
915	6900.169389
916	6896.987491
917	6891.950128
918	6891.421761
919	6889.372773
920	6887.024732
921	6881.038349
922	6874.246244
923	6868.999949
924	6868.506483
925	6859.760059
926	6851.223714
927	6848.577222
928	6843.375386
929	6837.95473
930	6830.891552
931	6824.133401
932	6817.683278
933	6802.563996
934	6795.684214
935	6787.755804
936	6777.866788
937	6777.409017
938	6769.884917
939	6764.215084
940	6763.667078
941	6753.766726
942	6751.935212
943	6744.787932
944	6738.157098
945	6729.607132
946	6725.083692
947	6724.33186
948	6716.796041
949	6712.854219
950	6700.515795
951	6693.963988
952	6686.83868
953	6678.201152
954	6669.998616
955	6667.103875
956	6661.32211
957	6653.794778
958	6652.6424
959	6642.721765
960	6629.895527
961	6628.111403
962	6621.318889
963	6620.88598
964	6615.72498
965	6608.51127
966	6608.115827
967	6607.66829
968	6606.826631
969	6602.000428
970	6595.567156
971	6590.767798
972	6585.932708
973	6580.290272
974	6568.911583
975	6561.257634
976	6548.288707
977	6539.062976
978	6531.5628
979	6521.025072
980	6516.557575
981	6508.796165
982	6501.376257
983	6491.562214
984	6490.775486
985	6490.365713
986	6484.267611
987	6483.848407
988	6481.251798
989	6475.52874
990	6469.831894
991	6469.438277
992	6462.511196
993	6462.111433
994	6461.712878
995	6461.251145
996	6447.623995
997	6440.55119
998	6437.217281
999	6432.063576
