iter	Passed	Remaining
416	3044	4257
417	3051	4248
418	3059	4241
419	3068	4237
420	3075	4229
421	3081	4220
422	3088	4212
423	3099	4210
424	3115	4214
425	3120	4204
426	3126	4195
427	3131	4185
428	3136	4175
429	3142	4165
430	3148	4155
431	3153	4146
432	3159	4137
433	3164	4126
434	3170	4117
435	3175	4107
436	3181	4098
437	3187	4089
438	3193	4081
439	3214	4091
440	3219	4081
441	3225	4071
442	3230	4062
443	3236	4052
444	3241	4042
445	3246	4033
446	3252	4023
447	3259	4016
448	3265	4007
449	3272	3999
450	3292	4008
451	3298	3999
452	3305	3991
453	3312	3984
454	3321	3978
455	3328	3970
456	3351	3982
457	3359	3975
458	3368	3970
459	3375	3962
460	3384	3956
461	3393	3951
462	3411	3956
463	3416	3946
464	3422	3938
465	3428	3928
466	3434	3919
467	3439	3910
468	3447	3903
469	3453	3894
470	3460	3886
471	3467	3879
472	3474	3870
473	3480	3861
474	3486	3853
475	3491	3843
476	3498	3835
477	3503	3826
478	3508	3816
479	3514	3807
480	3520	3798
481	3525	3788
482	3545	3794
483	3550	3785
484	3555	3775
485	3561	3766
486	3566	3757
487	3572	3748
488	3589	3750
489	3594	3741
490	3599	3731
491	3605	3722
492	3612	3715
493	3620	3708
494	3627	3700
495	3634	3693
496	3640	3684
497	3646	3675
498	3661	3676
499	3667	3667
500	3672	3658
501	3678	3648
502	3683	3639
503	3689	3630
504	3694	3621
505	3700	3612
506	3706	3604
507	3711	3594
508	3716	3585
509	3722	3576
510	3727	3566
511	3733	3558
512	3738	3549
513	3744	3540
514	3750	3531
515	3755	3522
516	3761	3513
517	3766	3504
518	3771	3495
519	3777	3486
520	3784	3479
521	3791	3471
522	3809	3474
523	3814	3465
524	3820	3456
525	3839	3460
526	3845	3451
527	3850	3442
528	3855	3433
529	3861	3423
530	3866	3415
531	3872	3406
532	3877	3397
533	3883	3388
534	3897	3387
535	3912	3387
536	3928	3386
537	3933	3378
538	3939	3369
539	3944	3360
540	3957	3357
541	3963	3349
542	3971	3342
543	3978	3335
544	3985	3327
545	3992	3319
546	3999	3312
547	4007	3305
548	4029	3310
549	4044	3308
550	4049	3299
551	4055	3291
552	4060	3282
553	4065	3272
554	4073	3265
555	4078	3256
556	4083	3247
557	4102	3249
558	4107	3240
559	4114	3232
560	4120	3224
561	4126	3215
562	4147	3219
563	4161	3216
564	4167	3208
565	4173	3199
566	4178	3190
567	4183	3181
568	4189	3173
569	4195	3164
570	4200	3156
571	4205	3147
572	4211	3138
573	4217	3129
574	4222	3120
575	4227	3112
576	4233	3103
577	4246	3100
578	4251	3091
579	4257	3083
580	4262	3074
581	4268	3065
582	4291	3069
583	4296	3060
584	4306	3055
585	4323	3054
586	4337	3051
587	4343	3043
588	4349	3034
589	4355	3026
590	4362	3018
591	4381	3019
592	4388	3011
593	4394	3003
594	4400	2995
595	4407	2987
596	4413	2979
597	4420	2971
598	4426	2963
599	4439	2959
600	4446	2952
601	4452	2943
602	4468	2942
603	4474	2933
604	4483	2927
605	4490	2919
606	4498	2912
607	4504	2904
608	4511	2896
609	4516	2887
610	4523	2879
611	4528	2871
612	4533	2862
613	4540	2854
614	4545	2845
615	4550	2836
616	4556	2828
617	4572	2826
618	4577	2817
619	4583	2809
620	4588	2800
621	4594	2792
622	4600	2783
623	4605	2775
624	4610	2766
625	4617	2758
626	4622	2749
627	4637	2746
628	4642	2738
629	4648	2729
630	4653	2721
631	4659	2713
632	4666	2705
633	4672	2697
634	4679	2689
635	4690	2684
636	4704	2680
637	4710	2672
638	4716	2664
639	4721	2656
640	4727	2647
641	4733	2639
642	4739	2631
643	4744	2622
644	4749	2614
645	4755	2605
646	4760	2597
647	4766	2589
648	4772	2581
649	4777	2572
650	4783	2564
651	4788	2556
652	4794	2547
653	4799	2539
654	4805	2531
655	4810	2522
656	4816	2514
657	4822	2506
658	4828	2498
659	4835	2491
660	4842	2483
661	4849	2475
662	4855	2467
663	4862	2460
664	4867	2452
665	4873	2443
666	4879	2436
667	4884	2427
668	4890	2419
669	4895	2411
670	4900	2402
671	4910	2396
672	4919	2390
673	4928	2383
674	4936	2376
675	4943	2369
676	4949	2361
677	4963	2357
678	4969	2349
679	4974	2340
680	4980	2332
681	4985	2324
682	4990	2316
683	4996	2308
684	5002	2300
685	5009	2293
686	5022	2288
687	5028	2280
688	5034	2272
689	5041	2264
690	5047	2256
691	5053	2249
692	5060	2241
693	5082	2240
694	5088	2233
695	5095	2225
696	5102	2218
697	5110	2210
698	5116	2203
699	5122	2195
700	5127	2187
701	5134	2179
702	5141	2172
703	5147	2164
704	5153	2156
705	5159	2148
706	5167	2141
707	5173	2133
708	5180	2126
709	5198	2123
710	5204	2115
711	5213	2108
712	5219	2101
713	5226	2093
714	5231	2085
715	5240	2078
716	5254	2074
717	5270	2070
718	5276	2062
719	5282	2054
720	5287	2046
721	5293	2038
722	5298	2029
723	5304	2021
724	5309	2013
725	5314	2005
726	5320	1998
727	5326	1990
728	5331	1981
729	5337	1974
730	5343	1966
731	5349	1958
732	5365	1954
733	5371	1946
734	5387	1942
735	5392	1934
736	5398	1926
737	5403	1918
738	5408	1910
